org_name,normalized,candidates
Uber Technologies Inc.,UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
Uber Technologies Inc.,UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
"Uber Technologies, Inc.",UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
United Airlines,UNITED AIRLINES,"United Teleconnect, Inc. (UTI) (overlap=1); United Teleconnect, Inc. (UTI) (overlap=1); United Native America Telecommunications, Inc. (overlap=1)"
"US Claims Capital, LLC",US CLAIMS CAPITAL,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
"USA Waste-Management Resources, LLC",USA WASTEMANAGEMENT RESOURCES,"Com-Tech Resources, Inc. (overlap=1); USA Global Link, Inc. (overlap=1); USA Global Link, Inc. (overlap=1)"
Vance Street Capital,VANCE STREET CAPITAL,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Verizon Communications,VERIZON COMMUNICATIONS,"Verizon Wireless Personal Communications, L.P (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Verizon Communications Inc,VERIZON COMMUNICATIONS,"Verizon Wireless Personal Communications, L.P (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Verizon Communications Inc.,VERIZON COMMUNICATIONS,"Verizon Wireless Personal Communications, L.P (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Verizon Communications Inc.,VERIZON COMMUNICATIONS,"Verizon Wireless Personal Communications, L.P (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Verizon Communications Inc.,VERIZON COMMUNICATIONS,"Verizon Wireless Personal Communications, L.P (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Verizon Corporate Services Group Inc.,VERIZON CORPORATE SERVICES GROUP,"Verizon Wireless (VAW) Services, LLC fka Vodaphone AirTouch Licenses, LLC (overlap=2); Verizon Wireless Messaging Services (overlap=2); Verizon Select Services, Inc. (overlap=2)"
Verizon Media,VERIZON MEDIA,Verizon - New York Inc. (overlap=1); VERIZON NEW YORK INC (overlap=1); Verizon (overlap=1)
Vmware Inc,VMWARE,None
"VMware, Inc.",VMWARE,None
"Volkswagen Group of America, Inc.",VOLKSWAGEN GROUP OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
Vulcan Industries,VULCAN INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
W.W. Grainger Inc.,WW GRAINGER,"WW Systems, LLC (overlap=1); WW Systems, LLC (overlap=1); WW Systems, LLC (overlap=1)"
"W.W. Grainger, Inc.",WW GRAINGER,"WW Systems, LLC (overlap=1); WW Systems, LLC (overlap=1); WW Systems, LLC (overlap=1)"
Wabtec Corporation,WABTEC,None
"Warn Industries, Inc.",WARN INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Warner Bros. Distributing Inc.,WARNER BROS DISTRIBUTING,"Time Warner Telecom of Columbus (overlap=1); Time Warner Telecom of Mid South, LP (overlap=1); Time Warner Telecom of Mid South, L.P. (overlap=1)"
Warner Music Group,WARNER MUSIC GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Warner Music Group,WARNER MUSIC GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Warner Music Group,WARNER MUSIC GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Warner Music Group Corp,WARNER MUSIC GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"Warner Music, Inc.",WARNER MUSIC,"Time Warner Telecom of Columbus (overlap=1); Time Warner Telecom of Mid South, LP (overlap=1); Time Warner Telecom of Mid South, L.P. (overlap=1)"
WERCS d/b/a Wyoming Financial Group,WERCS D/B/A WYOMING FINANCIAL GROUP,"Minnesota Phone Company Financial Group, LLP (overlap=2); Minnesota Phone Company Financial Group, LLP (overlap=2); Wyoming Telecommunication Group LLC (overlap=2)"
"Western Union Financial Services, Inc.",WESTERN UNION FINANCIAL SERVICES,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=2); Western Communications Services, Inc. (overlap=2); Western Communications Services, Inc. (overlap=2)"
Wiedenbach Brown,WIEDENBACH BROWN,"Brown County MSA Cellular Ltd. Partnership (overlap=1); Brown County CLEC, LLC (overlap=1); Brown Hills Enterprises, Inc. (overlap=1)"
WillScot Mobile Mini Holdings Corp.,WILLSCOT MOBILE MINI HOLDINGS,"Shenandoah Mobile, LLC (overlap=1); Shenandoah Mobile, LLC (overlap=1); Palmer Wireless Holdings, Inc. (overlap=1)"
"Window to the World Communications, Inc.",WINDOW TO THE WORLD COMMUNICATIONS,Connect to The World Corp. (overlap=3); Connect to The World Corp. (overlap=3); Frontier Communications of the Golden State (overlap=2)
"WM Waste Management, Inc.",WM WASTE MANAGEMENT,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Woodward Communications, Inc.",WOODWARD COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
Workday Inc.,WORKDAY,None
"Worthen Industries, Inc.",WORTHEN INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Worthen Industries, Inc.",WORTHEN INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Xerox Corporation,XEROX,Xerox Business Solutions Southwest (overlap=1); Xerox Business Solutions Southeast LLC (overlap=1); Xerox Business Solutions Southeast LLC (overlap=1)
"Xerox State Healthcare, LLC",XEROX STATE HEALTHCARE,State Long Distance Tel. Co. (overlap=1); State Long Distance Telephone Company (overlap=1); Wheat State Tel. Inc. (overlap=1)
"Xerox State Healthcare, LLC",XEROX STATE HEALTHCARE,State Long Distance Tel. Co. (overlap=1); State Long Distance Telephone Company (overlap=1); Wheat State Tel. Inc. (overlap=1)
Yahoo,YAHOO,None
Yahoo Inc.,YAHOO,None
Yahoo! Inc.,YAHOO!,None
Yahoo! Inc.,YAHOO!,None
Yahoo! Voices,YAHOO! VOICES,None
"Yahoo, Inc.",YAHOO,None
"Yum! Brands, Inc.",YUM! BRANDS,"National Brands, Inc. (overlap=1); National Brands, Inc. & Sharenet Communications Company (overlap=1); New World Brands, Inc. (overlap=1)"
Zscaler Inc.,ZSCALER,None
"Zscaler, Inc.",ZSCALER,None
