accession,sub_row,person,title,role_class,action,verb,sentence
0000101830-17-000003,1,Nestor Cano,Chief Operating Officer,COO,appointment,Appointment,"Chief Operating Officer Appointment On January 24, 2017, Sprint Corporation (“Sprint”) announced that Nestor Cano, 52, has agreed to become Chief Operating Officer of Sprint effective on February 2, 2017 (the “Effective Date”)."
0000101830-17-000003,2,Nestor Cano,Executive Vice President,other_exec,appointment,appointed,"In March 1999, he was appointed Executive Vice President of U.S. Sales and Marketing, and in January 2000 was promoted to President, the Americas."
0000101830-17-000003,3,Nestor Cano,President,president,appointment,promoted,"Mr. Cano was promoted to President, Worldwide Operations in August 2000 and was appointed to President, Europe in June 2007."
0000101830-18-000003,1,Michel Combes,director,director,election,elect,"Management Transition On January 4, 2018, Sprint Corporation (“Sprint” or the “Company”) announced that Michel Combes, 55, has agreed to become Chief Financial Officer and President of Sprint effective on January 6, 2018, and we expect that Mr. Combes will be appointed to Sprint’s Board of Directors."
0000101830-18-000003,2,Tarek Robbiati,Chief Financial Officer,CFO,departure,will leave,"Tarek Robbiati, our current Chief Financial Officer, will assist with the orderly transition of responsibilities and will leave Sprint on or before January 31, 2018."
0000101830-18-000003,3,Michel Combes,President,president,appointment,appointment,"Other Management Changes In connection with Mr. Combes’s appointment as President, on January 4, 2018, Sprint and Marcelo Claure, currently Chief Executive Officer and President, entered into an amendment to the Amended and Restated Employment Agreement, entered into on August 7, 2015, by and between and Marcelo Claure (the “Claure Amendment”)."
0000101830-18-000003,4,Marcelo Claure,President,president,departure,step down,"Pursuant to this amendment to the Claure Employment Agreement, Mr. Claure will step down as President while remaining Chief Executive Officer to allow for Mr. Combes’s appointment as President effective January 6, 2018."
0000101830-18-000003,5,Crull Amendment,Chief Strategy Officer,other_exec,appointment,appointed,"Pursuant to the Crull Amendment, Sprint has agreed to employ Mr. Crull as Chief Strategy Officer, and Mr. Crull may resign for good reason (as defined in the Crull Amendment) before April 30, 2018 if he is not appointed to an expanded role."
0000101830-18-000005,1,,director,director,election,elect,"On January 16, 2018, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of Sprint Corporation (the “Company”) appointed a new director, Michel Combes, who is currently President and Chief Financial Officer of the Company."
0000101830-18-000021,1,Marcelo Claure,Executive Chairman of the Board,other_exec,appointment,appointment,"On May 1, 2018, the Board of Directors (the “ Board ”) of Sprint Corporation (the “ Company ”) approved the appointment of Marcelo Claure as Executive Chairman of the Board of the Company and the cessation of his services as the Company’s Chief Executive Officer, and the appointment of Michel Combes as Chief Executive Officer of the Company and the cessation of his services as the Company’s Chief Financial Officer, each becoming effective on the earlier of (1) the date the Company has appointed "
0000101830-18-000027,1,,director,director,election,elect,"(d) On May 23, 2018, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of Sprint Corporation (the “Company”) appointed a new director, Stephen R. Kappes, effective as of May 31, 2018."
0000101830-18-000027,2,Stephen R. Kappes,director,director,election,elect,There are no arrangements or understandings between Mr. Kappes and any other persons pursuant to which Mr. Kappes was appointed as a director.
0000101830-18-000027,3,Stephen R. Kappes,director,director,election,elect,"Mr. Kappes will be appointed as a member of the Compensation Committee of the Board, effective as of May 31, 2018."
0000101830-18-000027,4,Stephen R. Kappes,Board as the “Security Director,director,departure,Depart,"In addition, effective as of May 31, 2018, Mr. Kappes will serve on the Board as the “Security Director” under the National Security Agreement among the Company, SoftBank Group Corp. (f/k/a Softbank Corp.), the Department of Justice, the Department of Homeland Security, and the Department of Defense."
0000101830-18-000029,1,Andrew M. Davies,Chief Financial Officer,CFO,appointment,appointment,"Prior to his appointment at Verizon Wireless, Mr. Davies held several senior financial roles within Vodafone Group Plc, including Chief Financial Officer of Vodafone India and Vodafone Turkey as well as positions in Vodafone UK and Vodafone Japan, from 2003 until 2010."
0000101830-18-000029,2,Marcelo Claure,Chief Executive Officer (“CEO,CEO,departure,ceased to serve,"Amended and Restated Employment Agreements As previously disclosed, Marcelo Claure was appointed Executive Chairman of the Board of Directors of the Company and ceased to serve as the Company’s Chief Executive Officer (“CEO”), and Michel Combes, the Company’s President, was appointed CEO, in each case effective as of May 31, 2018."
0000101830-18-000029,3,Michel Combes,CEO,CEO,appointment,appointment,"In connection with his appointment as CEO, Mr. Combes’s compensation will generally remain unchanged."
0000101830-19-000017,1,Andrew M. Davies,CFO,CFO,appointment,appointment,"On May 16, 2019, the Compensation Committee of Sprint Corporation (the “Company”) granted a cash bonus award (the “Cash Award”) to Andrew M. Davies, the Company’s Chief Financial Officer (“CFO”), in the amount of $1,125,000, or 1.5 times Mr. Davies’s annual base salary, in recognition of his contributions to the Company and the fact that he was not offered a Turnaround Incentive Award upon his appointment as CFO."
0001193125-20-093630,1,Paul Schieber,Vice President Controller,PAO,departure,no longer serve,"In connection therewith, as of the Effective Time, Mr. Claure, Executive Chairman, Mr. Combes, President and Chief Executive Officer, Nestor Cano, Chief Operating Officer, John Saw, Chief Technology Officer, Andrew Davies, Chief Financial Officer, Jorge Gracia, Chief Legal Officer, and Paul Schieber, Vice President and Controller, no longer serve in such positions for Sprint; in each case, this cessation of service was not related to any disagreement with Sprint on any matter relating to Sprint’"
0001104659-16-137921,1,James T. Ryan,Chief Executive Officer of the Company (“ CEO,CEO,departure,succeed/replace,"On August 8, 2016, W.W. Grainger, Inc. (the “ Company ”) announced that, effective as of October 1, 2016, Donald G. Macpherson will become the Chief Executive Officer of the Company (“ CEO ”) replacing James T. Ryan who will continue to serve as Chairman of the Board of Directors of the Company (the “ Board ”)."
0001104659-16-137921,2,Donald G. Macpherson,director,director,election,elect,"On August 8, 2016, the Board also expanded its size to increase the number of directors to 11, and elected Mr. Macpherson to the Board, in each case, effective as of October 1, 2016."
0001104659-16-137921,3,Donald G. Macpherson,"CEO, the independent directors of the Board",CEO,appointment,appointment,"In connection with Mr. Macpherson’s appointment to the position of CEO, the independent directors of the Board met in executive session without management participation and, upon the prior approval and recommendation of the Compensation Committee of the Board, approved an award to Mr. Macpherson of such number of performance vested restricted stock units (“ PRSUs ”) determined by dividing $2 million by the closing price of the shares of common stock, $0.50 par value per share, of the Company on "
0000277135-16-000057,1,William Lomax,principal accounting officer,PAO,departure,resigned,"Effective October 1, 2016, William Lomax, Vice President and Controller of W.W. Grainger, Inc. (the “ Company ”) and the Company’s principal accounting officer, resigned from his current position at the Company."
0000277135-17-000023,1,Beatriz R. Perez,director,director,election,elect,"On July 25, 2017, the Board of Directors (the “Board”) of W.W. Grainger, Inc. (the “Company”) appointed Beatriz R. Perez as a director, effective immediately."
0000277135-17-000023,2,Beatriz R. Perez,director,director,election,elect,"The Board also appointed Ms. Perez to its Board Affairs and Nominating Committee, and Compensation Committee."
0000277135-17-000028,1,James T. Ryan,"Board ”) of his retirement as a director, officer",other_exec,departure,retirement,"On August 2, 2017, James T. Ryan, Chairman of the Board of W.W. Grainger, Inc. (the “ Company ”), notified the Board of Directors of the Company (the “ Board ”) of his retirement as a director, officer and employee of the Company effective as of October 1, 2017."
0000277135-17-000028,2,James T. Ryan,Board,director,departure,retirement,"On August 2, 2017, the Board also decreased the number of directors to 10 in connection with Mr. Ryan’s retirement, and appointed D.G. Macpherson to succeed Mr. Ryan as Chairman of the Board, in each case, effective as of October 1, 2017."
0000277135-17-000044,1,Lucas E. Watson,director,director,election,elect,"On December 12, 2017, the Board of Directors (the “Board”) of W.W. Grainger, Inc. (the “Company”) appointed Lucas E. Watson as a director, effective immediately."
